bed,bath,sqft,prices,addresses,cities,state
2,2,1130,89900,"6530 Davidson St #7L, Columbia, SC 29209",Columbia,SC
3,2,2142,479000,"2825 Kershaw St, Columbia, SC 29205",Columbia,SC
4,2,1912,275000,"811 S Beltline Blvd, Columbia, SC 29205",Columbia,SC
3,2,1875,295000,"922 Suber St, Columbia, SC 29205",Columbia,SC
3,3,2056,247000,"121 Park Springs Rd, Columbia, SC 29223",Columbia,SC
3,1,992,55000,"1100 Joe Louis Dr, Columbia, SC 29201",Columbia,SC
3,1,988,139000,"3419 Piedmont Ave, Columbia, SC 29203",Columbia,SC
1,1,630,165000,"705 Maple St APT F104, Columbia, SC 29205",Columbia,SC
3,2,1236,125000,"1215 Marsteller Ct, Columbia, SC 29203",Columbia,SC
3,3,1857,365000,"1124 Westbriar Dr, Virginia Beach, VA 23455",Virginia Beach,VA
4,3,1467,400000,"764 Lym Dr, Virginia Beach, VA 23464",Virginia Beach,VA
3,3,1450,410000,"1518 Parks Ave, Virginia Beach, VA 23451",Virginia Beach,VA
3,3,1460,285000,"4537 Greyedge Dr, Virginia Beach, VA 23462",Virginia Beach,VA
5,4,2290,399900,"3833 William Penn Blvd, Virginia Beach, VA 23452",Virginia Beach,VA
3,2,1242,205000,"1033 Commonwealth Pl, Virginia Beach, VA 23464",Virginia Beach,VA
3,2,1605,320000,"5613 Hearth Dr, Virginia Beach, VA 23464",Virginia Beach,VA
5,3,2640,425000,"681 Raff Ct, Virginia Beach, VA 23462",Virginia Beach,VA
3,4,1710,329000,"4960 Almandine Ave, Virginia Beach, VA 23462",Virginia Beach,VA
3,4,2645,698500,"2650 Monroe Ave, Cleveland, OH 44113",Cleveland,OH
3,5,2164,819900,"1874 E 123rd St #16, Cleveland, OH 44106",Cleveland,OH
5,3,3794,90000,"12341 Chesterfield Ave, Cleveland, OH 44108",Cleveland,OH
2,2,900,96000,"10301 Lake Ave APT 318, Cleveland, OH 44102",Cleveland,OH
5,2,2124,87000,"1007 E 140th St, Cleveland, OH 44110",Cleveland,OH
3,2,1638,69000,"3635 E 139th St, Cleveland, OH 44120",Cleveland,OH
5,2,1650,175000,"1082 E 66th St, Cleveland, OH 44103",Cleveland,OH
5,1,1720,85000,"1757 Avalon Rd, Cleveland, OH 44112",Cleveland,OH
6,2,3956,75000,"11614 Fairport Ave, Cleveland, OH 44108",Cleveland,OH
8,5,6761,1799000,"205 North Prospect Ave, Madison, WI 53726",Madison,WI
4,2,1623,375000,"5313 Bauer Dr, Madison, WI 53718",Madison,WI
3,4,1880,299900,"7248 Old Sauk Rd, Madison, WI 53717",Madison,WI
2,3,1385,299900,"540 Apollo Way, Madison, WI 53718",Madison,WI
3,3,1855,389900,"7102 Pagham Dr, Madison, WI 53719",Madison,WI
3,3,1794,435000,"8302 Dolomite Ln, Madison, WI 53719",Madison,WI
3,1,960,295000,"213 South Walbridge Ave, Madison, WI 53714",Madison,WI
4,3,2647,570000,"2905 Interlaken Pass, Madison, WI 53719",Madison,WI
3,2,1916,249900,"107 Kurt Dr, Madison, WI 53714",Madison,WI
3,3,1664,445000,"1447 Harvest Avenue SE, Olympia, WA 98501",Olympia,WA
4,3,2591,629950,"7424 Mirasett Street SW Lot12, Tumwater, WA 98512",Tumwater,WA
3,2,1952,669999,"8024 Fairview Road SW, Olympia, WA 98512",Olympia,WA
4,3,2354,545000,"519 Woodduck Drive SW, Olympia, WA 98502",Olympia,WA
3,3,2150,649000,"4135 Maple Street SE, Olympia, WA 98501",Olympia,WA
2,1,952,269500,"3505 Central Street SE UNIT 1, Olympia, WA 98501",Olympia,WA
6,7,6593,1299000,"2930 Lohman Court SE, Olympia, WA 98501",Olympia,WA
3,2,1847,575000,"3402 Woodside Court NE, Olympia, WA 98506",Olympia,WA
4,3,2763,550000,"5308 Donnelly Drive SE, Olympia, WA 98501",Olympia,WA
4,2,1952,539000,"957 Pine Street, Burlington, VT 05401",Burlington,VT
2,2,1502,299900,"7 Ivy Lane, Burlington, VT 05408",Burlington,VT
2,1,912,350000,"487 South Prospect Street UNIT 2, Burlington, VT 05401",Burlington,VT
4,2,1748,649000,"30 South Crest Drive, Burlington, VT 05401",Burlington,VT
5,3,2404,840000,"120 Nottingham Lane, Burlington, VT 05408",Burlington,VT
4,3,2691,519900,"167 Curtis Avenue, Burlington, VT 05408",Burlington,VT
3,2,1530,415000,"26 South Union Street, Burlington, VT 05401",Burlington,VT
1,1,675,239900,"317 Hildred Drive, Burlington, VT 05401",Burlington,VT
3,2,1686,935000,"40 College Street UNIT 309, Burlington, VT 05401",Burlington,VT
2,2,955,539900,"17099 W Bernardo Dr UNIT 104, San Diego, CA 92127",San Diego,CA
3,2,1000,749999,"3249 Towser St, San Diego, CA 92123",San Diego,CA
4,2,1474,849900,"3337 L St, San Diego, CA 92102",San Diego,CA
6,4,2889,1999000,"3425 31st St, San Diego, CA 92104",San Diego,CA
1,1,617,414900,"1480 Broadway #2320, San Diego, CA 92101",San Diego,CA
4,3,2264,1399000,"10756 Vista Valle Dr, San Diego, CA 92131",San Diego,CA
2,1,943,749999,"1240 India St UNIT 506, San Diego, CA 92101",San Diego,CA
4,3,2682,1695000,"6472 Cascade St, San Diego, CA 92122",San Diego,CA
3,3,1872,849000,"5230 Mount Alifan Dr, San Diego, CA 92111",San Diego,CA
2,1,1017,370000,"820 W 400 N, Salt Lake City, UT 84116",Salt Lake City,UT
3,2,1000,419999,"939 E 500 S #A, Salt Lake City, UT 84102",Salt Lake City,UT
2,2,1067,589000,"5 S 500 W UNIT 815, Salt Lake City, UT 84101",Salt Lake City,UT
4,2,1868,665000,"1968 S Douglas St, Salt Lake City, UT 84105",Salt Lake City,UT
2,1,1391,500000,"1199 E 2700 S, Salt Lake City, UT 84106",Salt Lake City,UT
5,4,4216,2500000,"2250 E 1700 S, Salt Lake City, UT 84108",Salt Lake City,UT
3,1,1356,525000,"1232 E Crandall Ave, Salt Lake City, UT 84106",Salt Lake City,UT
4,5,6335,1750000,"1332 S Canterbury Dr, Salt Lake City, UT 84108",Salt Lake City,UT
2,3,1463,645000,"723 N 300 W #10, Salt Lake City, UT 84103",Salt Lake City,UT
4,3,2088,334080,"9212 SW 43rd St, Oklahoma City, OK 73179",Oklahoma City,OK
3,2,1400,234900,"2029 NE 12th St, Oklahoma City, OK 73117",Oklahoma City,OK
3,2,1364,225000,"10808 Sunnymeade Pl, The Village, OK 73120",The Village,OK
3,2,1427,169900,"4117 N Westridge St, Oklahoma City, OK 73122",Oklahoma City,OK
2,1,744,75000,"3608 NW 12th St, Oklahoma City, OK 73107",Oklahoma City,OK
3,2,1836,219900,"8921 N McKee Blvd, Oklahoma City, OK 73132",Oklahoma City,OK
3,2,1550,195000,"7429 NW 6th St, Oklahoma City, OK 73127",Oklahoma City,OK
6,5,3738,235000,"2207 NW 18th St, Oklahoma City, OK 73107",Oklahoma City,OK
4,3,2592,375000,"11113 Leaning Elm Rd, Oklahoma City, OK 73120",Oklahoma City,OK
7,4,2632,3595000,"10 27th Ave, Venice, CA 90291",Venice,CA
3,3,2048,1895000,"8025 Alverstone Ave, Los Angeles, CA 90045",Los Angeles,CA
3,2,5399,1895000,"2146 Malcolm Ave, Los Angeles, CA 90025",Los Angeles,CA
3,1,1188,639900,"796 E 41st St, Los Angeles, CA 90011",Los Angeles,CA
1,1,820,519000,"645 W 9th St APT 431, Los Angeles, CA 90015",Los Angeles,CA
4,2,1714,710000,"444 W 77th St, Los Angeles, CA 90003",Los Angeles,CA
5,5,4117,1650000,"9720 Babbitt Ave, Northridge, CA 91325",Northridge,CA
3,2,1612,1300000,"3617 Willowcrest Ave, Studio City, CA 91604",Studio City,CA
8,4,3640,2250000,"1889 Lemoyne St APT 1, Los Angeles, CA 90026",Los Angeles,CA
4,3,2345,375000,"5713 W Westminster Dr, Sioux Falls, SD 57106",Sioux Falls,SD
5,3,3102,629900,"6609 E 33rd St, Sioux Falls, SD 57110",Sioux Falls,SD
5,5,4192,1250000,"209 N Harvest Hill Cir Cir, Sioux Falls, SD 57110",Sioux Falls,SD
5,3,2866,519900,"2605 E Yorkshire St, Sioux Falls, SD 57108",Sioux Falls,SD
5,3,3646,669900,"3704 S Florence Ave, Sioux Falls, SD 57103",Sioux Falls,SD
3,2,1257,269900,"9424 W Delores Dr, Sioux Falls, SD 57106",Sioux Falls,SD
4,4,3048,789900,"1800 W Gray Gables Cir, Sioux Falls, SD 57108",Sioux Falls,SD
2,2,1512,165000,"1016 N Walts Ave, Sioux Falls, SD 57104",Sioux Falls,SD
3,2,1775,449500,"1609 W Burton Dr, Brandon, SD 57005",Brandon,SD
1,2,990,359900,"1868 Cousteau Loop SE, Salem, OR 97302",Salem,OR
3,2,1637,439995,"382 Greencrest St NE, Salem, OR 97301",Salem,OR
3,3,1802,499994,"2205 Woodhill St NW, Salem, OR 97304",Salem,OR
3,2,1593,525000,"5761 Springwood Ave SE, Salem, OR 97306",Salem,OR
3,4,2321,579900,"1822 Skyway St S, Salem, OR 97302",Salem,OR
2,1,1309,365000,"1995 19th St NE, Salem, OR 97301",Salem,OR
4,4,2661,599900,"2184 Deerwind Ave NW, Salem, OR 97304",Salem,OR
3,3,1662,414995,"418 Lost Lake St, Salem, OR 97301",Salem,OR
4,3,1657,449900,"2606 San Clemente Ct NE, Salem, OR 97305",Salem,OR
2,2,1344,229000,"394 Chateau La Salle Dr, San Jose, CA 95111",San Jose,CA
3,2,1684,1429000,"3495 New Jersey Ave, San Jose, CA 95124",San Jose,CA
3,2,1321,899999,"1821 Germaine Ct, San Jose, CA 95122",San Jose,CA
4,2,1585,1388800,"1937 Doxey Dr, San Jose, CA 95131",San Jose,CA
8,4,3724,1698000,"931 Vermont St, San Jose, CA 95126",San Jose,CA
4,2,1693,1899000,"3974 Acapulco Dr, Campbell, CA 95008",Campbell,CA
2,2,1371,998000,"1011 Bellante Ln UNIT 3, San Jose, CA 95131",San Jose,CA
2,2,1405,1695000,"333 Santana Row APT 220, San Jose, CA 95128",San Jose,CA
3,4,3450,2180000,"27 Topeka Ave, San Jose, CA 95128",San Jose,CA
4,3,2450,355000,"913 Sonata Ln, Cheyenne, WY 82007",Cheyenne,WY
5,3,2951,530000,"3509 Fire Side Dr, Cheyenne, WY 82001",Cheyenne,WY
4,3,2652,529000,"4717 Storm Ct, Cheyenne, WY 82009",Cheyenne,WY
3,4,2108,380500,"6955 Wilderness Trl, Cheyenne, WY 82001",Cheyenne,WY
2,1,759,279900,"356 Stinson Ave, Cheyenne, WY 82007",Cheyenne,WY
4,3,4489,750000,"434 Stampede Cir, Cheyenne, WY 82009",Cheyenne,WY
2,1,663,30000,"3801 Atkin St, Cheyenne, WY 82001",Cheyenne,WY
6,7,8495,945000,"308 Stetson Dr, Cheyenne, WY 82009",Cheyenne,WY
2,2,900,190000,"4704 Hickory Pl, Cheyenne, WY 82009",Cheyenne,WY
4,3,4122,435000,"235 Lewis St, Harrisburg, PA 17110",Harrisburg,PA
3,2,1140,169900,"1135 Hudson St, Harrisburg, PA 17104",Harrisburg,PA
2,2,1604,289900,"6452 Whisper Wood Ln, Harrisburg, PA 17112",Harrisburg,PA
4,4,3536,725000,"2348 Abbey Ln, Harrisburg, PA 17112",Harrisburg,PA
2,2,1011,205000,"6122 Knisley St, Harrisburg, PA 17112",Harrisburg,PA
4,4,4108,615000,"1624 Mitchell Rd, Harrisburg, PA 17110",Harrisburg,PA
4,2,1766,235000,"3609 Colonial Rd, Harrisburg, PA 17109",Harrisburg,PA
2,1,760,175000,"1105 4th Ave, Steelton, PA 17113",Steelton,PA
3,1,2194,260000,"100 Summit St, Steelton, PA 17113",Steelton,PA
3,3,1941,660000,"1412A Chester Ave, Nashville, TN 37206",Nashville,TN
1,1,620,325000,"1803 Broadway APT 421, Nashville, TN 37203",Nashville,TN
2,2,1122,255000,"110 Bellevue Rd APT 30, Nashville, TN 37221",Nashville,TN
3,1,1092,335000,"5012 Hasty Dr, Nashville, TN 37211",Nashville,TN
4,3,2270,749999,"2351 Herman St, Nashville, TN 37208",Nashville,TN
3,2,1804,425000,"898 General George Patton Rd, Nashville, TN 37221",Nashville,TN
3,2,1913,419800,"285 Bonnasprings Dr, Hermitage, TN 37076",Hermitage,TN
4,3,2583,574900,"1009 Lawsons Ridge Dr, Nashville, TN 37218",Nashville,TN
4,3,2347,614900,"522 Elaine Dr, Nashville, TN 37211",Nashville,TN
2,1,2016,149900,"2416 26th Ave S APT 208, Fargo, ND 58103",Fargo,ND
2,1,2016,142500,"2419 25 1/2 Ave S APT 206, Fargo, ND 58103",Fargo,ND
3,3,1855,365000,"1112 12th St N #102, Fargo, ND 58102",Fargo,ND
3,3,1855,365000,"1112 12th St N #103, Fargo, ND 58102",Fargo,ND
3,3,1778,279900,"4288 Auburn Ave S, Fargo, ND 58104",Fargo,ND
3,3,1855,365000,"1112 12th St N #104, Fargo, ND 58102",Fargo,ND
5,3,2981,429900,"3414 28th Ave S, Fargo, ND 58103",Fargo,ND
4,4,2783,390000,"2808 38 1/2 Ave S, Fargo, ND 58104",Fargo,ND
3,3,1855,365000,"1112 12th St N #105, Fargo, ND 58102",Fargo,ND
2,2,1522,475000,"31 Kenyon St, Providence, RI 02909",Providence,RI
17,4,4800,775000,"73 Health Ave, Providence, RI 02908",Providence,RI
3,2,1610,445000,"104 Calverley St, Providence, RI 02908",Providence,RI
2,2,1466,299900,"150 New York Ave, Providence, RI 02905",Providence,RI
6,3,3900,824900,"17 Hillside Ave, Providence, RI 02906",Providence,RI
3,2,1598,779000,"245 8th St, Providence, RI 02906",Providence,RI
14,6,5339,995000,"166 Williams St, Providence, RI 02906",Providence,RI
3,2,2030,425000,"32 Jacqueline Dr, Providence, RI 02909",Providence,RI
3,2,1616,719000,"225 5th St, Providence, RI 02906",Providence,RI
4,4,2861,1150000,"3904 Gaines Ct, Austin, TX 78735",Austin,TX
2,2,939,399500,"2505 San Gabriel St APT 511, Austin, TX 78705",Austin,TX
2,3,1151,400000,"1201 Grove Blvd APT 1102, Austin, TX 78741",Austin,TX
3,2,1918,1495000,"1304 E 2nd St, Austin, TX 78702",Austin,TX
4,4,2715,969000,"12 Scarlet Rdg, Austin, TX 78737",Austin,TX
4,3,2804,1575000,"3908 Idlewild Rd, Austin, TX 78731",Austin,TX
1,1,589,244900,"910 Duncan Ln APT 35, Austin, TX 78705",Austin,TX
2,2,1259,375000,"1700 Coturnix Dr #96, Austin, TX 78758",Austin,TX
3,3,2454,619227,"2793 Jack Rabbit Way, Justin, TX 76247",Justin,TX
4,3,3393,225000,"801 Leawood Dr, Frankfort, KY 40601",Frankfort,KY
3,2,2464,289900,"404 Chippewa Trl, Frankfort, KY 40601",Frankfort,KY
3,2,1649,263700,"929 Brookhaven Dr, Frankfort, KY 40601",Frankfort,KY
3,3,1650,299000,"121 Wood Duck Dr, Frankfort, KY 40601",Frankfort,KY
3,2,1740,259900,"224 Hawthorne Dr, Frankfort, KY 40601",Frankfort,KY
3,2,2063,170000,"1654 Highview Cir, Frankfort, KY 40601",Frankfort,KY
2,1,1028,150000,"124 Pickett Ave, Frankfort, KY 40601",Frankfort,KY
4,3,2474,439900,"1406 Colston Ln, Frankfort, KY 40601",Frankfort,KY
3,3,1944,254000,"1157 Ojibwa Trl, Frankfort, KY 40601",Frankfort,KY
3,3,1828,190000,"2450 Seracedar St, Baton Rouge, LA 70816",Baton Rouge,LA
4,3,2403,315000,"12335 Queensbury Ave, Baton Rouge, LA 70815",Baton Rouge,LA
4,2,1744,59900,"3217 Huron St, Baton Rouge, LA 70805",Baton Rouge,LA
4,2,1437,129900,"8321 Gay Dr, Baton Rouge, LA 70814",Baton Rouge,LA
4,3,2164,289900,"13911 Calcasieu Ave, Baton Rouge, LA 70818",Baton Rouge,LA
3,2,1511,235000,"16137 Crepemyrtle Dr, Baton Rouge, LA 70817",Baton Rouge,LA
4,2,1978,295000,"16536 Missionary Ridge Ave, Baton Rouge, LA 70817",Baton Rouge,LA
4,3,2521,284900,"10339 Montrachet Dr, Baton Rouge, LA 70817",Baton Rouge,LA
3,2,1490,159900,"2490 Armstrong Cir, Baton Rouge, LA 70816",Baton Rouge,LA
4,2,2395,395000,"10 Farnum Street, Augusta, ME 04330",Augusta,ME
4,3,2700,399000,"65 Quimby Street, Augusta, ME 04330",Augusta,ME
2,1,884,199900,"233 Northern Avenue, Augusta, ME 04330",Augusta,ME
2,2,1080,279000,"433 Civic Center Drive, Augusta, ME 04330",Augusta,ME
3,2,1639,249000,"48 Kelton Road, Augusta, ME 04330",Augusta,ME
4,4,3518,650000,"18 Fieldstone Drive, Augusta, ME 04330",Augusta,ME
2,3,1830,759000,"147 Young Road, Augusta, ME 04330",Augusta,ME
5,3,2178,159000,"8 Weston Street, Augusta, ME 04330",Augusta,ME
5,3,2560,469000,"31 Stony Brook Road, Augusta, ME 04330",Augusta,ME
3,3,1280,500000,"730 Rosedale St, Annapolis, MD 21401",Annapolis,MD
3,3,1670,485000,"12 Chelsea Ct, Annapolis, MD 21403",Annapolis,MD
3,2,1650,530000,"10 1st St, Annapolis, MD 21401",Annapolis,MD
4,2,1212,319900,"115 Janwall St, Annapolis, MD 21403",Annapolis,MD
3,3,1253,500000,"519 Ridge Rd, Annapolis, MD 21401",Annapolis,MD
2,1,1138,399000,"3290 Arundel On The Bay Rd, Annapolis, MD 21403",Annapolis,MD
2,2,1134,599000,"1101 Poplar Ave, Annapolis, MD 21401",Annapolis,MD
4,4,3018,1185000,"3052 Rundelac Rd, Annapolis, MD 21403",Annapolis,MD
2,2,936,377000,"1300 Cape Saint Claire Rd, Annapolis, MD 21409",Annapolis,MD
3,1,1161,114900,"1237 Lathrop St, Lansing, MI 48912",Lansing,MI
2,2,880,119900,"408 N Magnolia Ave, Lansing, MI 48912",Lansing,MI
4,2,1810,152500,"2337 N Grand River Ave, Lansing, MI 48906",Lansing,MI
3,3,2014,269000,"1736 N Hayford Ave, Lansing, MI 48912",Lansing,MI
3,2,1313,154900,"3812 Stratford Ave, Lansing, MI 48911",Lansing,MI
3,2,1472,279900,"1118 Cindy Dr, Lansing, MI 48917",Lansing,MI
3,2,1536,169900,"6227 Marywood Ave, Lansing, MI 48911",Lansing,MI
3,2,1774,260000,"4824 Moultrie Cir, Lansing, MI 48917",Lansing,MI
3,1,1313,138000,"526 Spokane Ave, Lansing, MI 48910",Lansing,MI
2,1,770,129900,"981 Seminary Ave, Saint Paul, MN 55104",Saint Paul,MN
3,1,1959,239900,"618 Arlington Ave E, Saint Paul, MN 55130",Saint Paul,MN
3,3,1688,400000,"2162 Stanford Ave, Saint Paul, MN 55105",Saint Paul,MN
2,1,1045,125000,"1051 5th St E, Saint Paul, MN 55106",Saint Paul,MN
4,2,1892,325000,"680 Cherokee Ave, Saint Paul, MN 55107",Saint Paul,MN
4,1,1623,257000,"2342 Commonwealth Ave, Saint Paul, MN 55108",Saint Paul,MN
3,2,1080,255000,"1241 Charles Ave, Saint Paul, MN 55104",Saint Paul,MN
3,2,1615,240000,"1543 Edmund Ave, Saint Paul, MN 55104",Saint Paul,MN
